Frequency 	Vafe
0.1	-30.8801037945643
0.100184376572403	-30.8639071393493
0.10036909309201	-30.8477097735735
0.100554150185604	-30.8315116948297
0.100739548481125	-30.8153129005988
0.100925288607668	-30.7991133882107
0.101111371195491	-30.7829131551838
0.10129779687601	-30.7667121992392
0.10148456628181	-30.7505105175159
0.101671680046638	-30.7343081075025
0.101859138805412	-30.7181049666246
0.10204694319422	-30.7019010924707
0.102235093850323	-30.6856964822571
0.102423591412157	-30.6694911335017
0.102612436519334	-30.6532850434582
0.102801629812647	-30.6370782096012
0.10299117193407	-30.6208706295032
0.103181063526759	-30.6046623001962
0.103371305235058	-30.5884532192956
0.103561897704499	-30.5722433838812
0.103752841581801	-30.5560327915624
0.10394413751488	-30.5398214395354
0.104135786152843	-30.5236093252639
0.104327788145997	-30.5073964458835
0.104520144145844	-30.4911827987106
0.10471285480509	-30.4749683810943
0.104905920777644	-30.4587531905036
0.105099342718622	-30.4425372239109
0.105293121284344	-30.4263204787214
0.105487257132344	-30.4101029522664
0.105681750921366	-30.393884641698
0.10587660331137	-30.3776655442416
0.106071814963532	-30.3614456572213
0.106267386540246	-30.3452249777656
0.106463318705131	-30.329003503165
0.106659612123026	-30.3127812305677
0.106856267459996	-30.2965581573236
0.107053285383336	-30.2803342803384
0.10725066656157	-30.2641095970379
0.107448411664456	-30.247884104514
0.107646521362984	-30.2316577998754
0.107844996329383	-30.2154306803204
0.108043837237123	-30.1992027429141
0.108243044760913	-30.1829739848716
0.108442619576707	-30.1667444034206
0.108642562361707	-30.1505139953977
0.108842873794359	-30.1342827581359
0.109043554554366	-30.1180506885471
0.109244605322679	-30.1018177838259
0.109446026781508	-30.0855840409696
0.109647819614319	-30.06934945721
0.109849984505838	-30.0531140294586
0.110052522142054	-30.0368777546978
0.110255433210222	-30.0206406302074
0.110458718398863	-30.0044026527767
0.110662378397767	-29.9881638193878
0.110866413897996	-29.9719241272569
0.111070825591886	-29.9556835732338
0.111275614173052	-29.9394421543611
0.111480780336384	-29.9231998676399
0.111686324778056	-29.9069567098585
0.111892248195524	-29.890712678279
0.112098551287531	-29.8744677695561
0.112305234754108	-29.8582219808209
0.112512299296577	-29.8419753087513
0.112719745617551	-29.8257277506178
0.112927574420942	-29.8094793029971
0.113135786411956	-29.7932299628689
0.113344382297103	-29.7769797272362
0.113553362784194	-29.7607285929076
0.113762728582343	-29.7444765567825
0.113972480401975	-29.7282236155763
0.114182618954822	-29.7119697662859
0.114393144953931	-29.695715005696
0.11460405911366	-29.6794593304865
0.114815362149688	-29.6632027376468
0.115027054779011	-29.6469452240061
0.115239137719949	-29.6306867861727
0.115451611692143	-29.6144274210914
0.115664477416565	-29.5981671254071
0.115877735615513	-29.5819058960025
0.116091387012618	-29.5656437295688
0.116305432332847	-29.5493806227172
0.1165198723025	-29.5331165724694
0.116734707649219	-29.5168515751476
0.116949939101987	-29.5005856279392
0.11716556739113	-29.48431872712
0.117381593248322	-29.4680508694851
0.117598017406585	-29.4517820518649
0.117814840600293	-29.4355122707039
0.118032063565173	-29.4192415228216
0.11824968703831	-29.4029698048232
0.118467711758149	-29.3866971132327
0.118686138464492	-29.3704234447845
0.11890496789851	-29.3541487960705
0.119124200802738	-29.3378731637102
0.11934383792108	-29.3215965441957
0.119563879998812	-29.305318934038
0.119784327782586	-29.2890403300133
0.120005182020427	-29.2727607285471
0.120226443461741	-29.2564801262722
0.120448112857318	-29.2401985195507
0.120670190959328	-29.2239159051519
0.12089267852133	-29.2076322793117
0.121115576298273	-29.1913476386263
0.121338885046498	-29.1750619796792
0.121562605523738	-29.1587752989024
0.121786738489126	-29.1424875927659
0.122011284703193	-29.1261988575931
0.122236244927873	-29.1099090899617
0.122461619926505	-29.0936182862062
0.122687410463834	-29.0773264427331
0.122913617306017	-29.0610335561931
0.123140241220622	-29.0447396225882
0.123367282976633	-29.028444638598
0.123594743344451	-29.0121486005006
0.123822623095899	-28.9958515046002
0.124050923004223	-28.9795533473052
0.124279643844092	-28.9632541249931
0.124508786391605	-28.9469538339799
0.124738351424294	-28.9306524704055
0.124968339721122	-28.9143500307308
0.125198752062488	-28.8980465112543
0.125429589230232	-28.8817419081744
0.125660852007633	-28.8654362178893
0.125892541179417	-28.8491294364909
0.126124657531754	-28.8328215601945
0.126357201852265	-28.8165125854381
0.126590174930024	-28.8002025081899
0.126823577555559	-28.7838913248316
0.127057410520854	-28.7675790315535
0.127291674619356	-28.7512656245004
0.127526370645973	-28.7349510998016
0.12776149939708	-28.7186354535734
0.127997061670518	-28.7023186820961
0.128233058265602	-28.6860007815204
0.128469489983119	-28.6696817477206
0.128706357625333	-28.6533615770768
0.128943661995987	-28.6370402654941
0.129181403900306	-28.6207178091108
0.129419584144999	-28.6043942040539
0.129658203538263	-28.5880694463443
0.129897262889785	-28.5717435320615
0.130136763010746	-28.5554164571271
0.130376704713821	-28.539088217664
0.130617088813184	-28.5227588097646
0.13085791612451	-28.5064282291691
0.131099187464978	-28.4900964720972
0.131340903653273	-28.4737635343617
0.131583065509592	-28.4574294120214
0.131825673855641	-28.4410941010035
0.132068729514642	-28.4247575971342
0.132312233311337	-28.4084198965854
0.132556186071986	-28.3920809949191
0.132800588624373	-28.3757408882884
0.133045441797809	-28.3593995725162
0.133290746423134	-28.3430570433605
0.133536503332719	-28.3267132969157
0.13378271336047	-28.3103683287782
0.134029377341831	-28.2940221347933
0.134276496113786	-28.2776747109624
0.134524070514863	-28.2613260529523
0.134772101385135	-28.2449761566908
0.135020589566224	-28.2286250176835
0.135269535901304	-28.2122726318765
0.135518941235104	-28.1959189949927
0.135768806413909	-28.1795641028826
0.136019132285567	-28.1632079510708
0.136269919699487	-28.1468505354129
0.136521169506645	-28.1304918515369
0.136772882559585	-28.1141318951905
0.137025059712425	-28.0977706619267
0.137277701820855	-28.0814081474618
0.137530809742145	-28.0650443475349
0.137784384335145	-28.0486792576139
0.138038426460288	-28.0323128733973
0.138292936979594	-28.0159451905133
0.138547916756672	-27.9995762045925
0.138803366656723	-27.9832059110261
0.139059287546545	-27.9668343056133
0.13931568029453	-27.9504613837084
0.139572545770677	-27.93408714096
0.139829884846584	-27.9177115728603
0.140087698395458	-27.9013346748867
0.140345987292118	-27.884956442585
0.140604752412991	-27.8685768713821
0.140863994636126	-27.8521959568397
0.141123714841185	-27.8358136941675
0.141383913909456	-27.8194300791342
0.141644592723851	-27.8030451070206
0.141905752168909	-27.7866587730764
0.1421673931308	-27.7702710729672
0.142429516497329	-27.7538820019425
0.142692123157936	-27.737491555339
0.142955214003704	-27.7210997285699
0.143218789927354	-27.7047065171327
0.143482851823259	-27.6883119159998
0.143747400587436	-27.6719159207339
0.144012437117557	-27.6555185264995
0.144277962312948	-27.6391197287126
0.144543977074593	-27.6227195225603
0.144810482305137	-27.6063179033224
0.145077478908891	-27.5899148662689
0.145344967791831	-27.573510406495
0.145612949861606	-27.5571045193521
0.145881426027535	-27.5406972000129
0.146150397200616	-27.5242884437342
0.146419864293528	-27.507878245591
0.146689828220629	-27.491466600567
0.146960289897965	-27.4750535041344
0.147231250243272	-27.4586389511453
0.147502710175976	-27.4422229368898
0.147774670617199	-27.4258054563772
